prompt,completion
【お知らせ】2023.4.12【ゴールデンウィーク休業のお知らせ】,"いつもキュリアをご利用いただきありがとうございます。
 
キュリアサポートは下記の期間は休業いたします。

【休業期間】
4月29 日（土） ? 4月30日（日）
5月3日（水） ? 5月7日（日）

上記、期間中にいただいたお問い合わせは5月8日（月）以降に順次回答させていただきます。
お客様にはご不便をおかけいたしますが、何卒よろしくお願いいたします。"
【お知らせ】2023.4.25【重要・復旧済み】QR生成がうまくいかないエラーが発生しております。,"~~制作サーバー不安定によりQR作成がうまくいかない場合があり、大変ご迷惑おかけしております。~~

~~※既に作成済みのコンテンツへの影響はございません。~~
~~※デザインソフトで背景設定可能なQRコード作成(ギフト、外部リンク)への影響はございません。~~
~~複製がうまくいかないエラーも発生しております。~~

~~緊急でコンテンツが必要な場合は、以下ページの運用回避策を参考にいただけますと幸いです。~~

~~https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/c01dca7b94b5ceae765682f27bea9206e47c2747/~~

2023年4月25日
QR生成時にエラーが出る現象ですが、全てのコンテンツにて解消いたしました。
現在は通常通りご利用いただけます。

この度は、大変ご迷惑をおかけしましたことを深くお詫び申し上げます。
今後とも何卒よろしくお願い申し上げます。"
【お知らせ】2023.4.27 これまでのアップデート情報まとめ,"2021年?2023年4月までに行ったキュリアのアップデート情報をまとめております。
■2023年
4月　 フォトフレームコンテンツ追加
          ドットレスQRに外部リンクコンテンツ追加
          ホームアイコン追加時のタイトル変更が可能に

■2022年
3月　 ゴミ箱機能追加
　　  オープニング動画機能追加

4月　 サンキューメール機能追加

5月　 スライド型スマホサイト機能追加

6月　 複製機能

8月　 スタンプカード機能追加

■2021年
1月　 LINEアプリ読込み対応
　　   フォームAPI機能
　　   スタンプラリーコンテンツ追加

3月　 Google&Apple サインイン機能の実装

6月　 クーポンの利用店舗選択機能追加
　　   ギフトコンテンツ機能追加

7月　 ログのレポート定期送信機能追加
　       フォームからのクーポンログ機能追加

8月　 二段階抽選機能の追加

9月　 タイマー機能追加

11月　ドットレスQR作成/バリアブル機能追加

これからもキュリアをご利用いただいているお客様の声を大切に、新たな価値を提供できるようバージョンアップに努めてまいります。"
【お知らせ】2023.5.11 システムエラーが発生した場合の対象方法,"2023年5月11日の早朝より、システムエラーが発生している環境があることを確認しております。
ご迷惑をおかけし申し訳ございません。
現在はサーバーの状況が安定しており、システムエラーは解消いたしました。

現在もシステムエラーが確認できる環境ではブラウザのキャッシュなどが原因になっている可能性がございます。
下記の方法をお試しいただき正常にアクセスできるかお試しください。

?ブラウザの更新を行う
「更新ボタン」で解消されない場合、スーパーリロード（強制再読み込み）もお試しください。
■スーパーリロード（強制再読み込み）方法
http://www.netyasun.com/browser/reload.html

?別のブラウザを利用しアクセスを行う"
2023.5.30 【アップデート情報】キャンペーン規模の項目が追加されました,"対象コンテンツ種類
ギフト
フォーム
スタンプラリー
整理券

※ガチャなどのキャンペーンコンテンツや他コンテンツ種類にも順次反映しています。
詳細
キュリアのコンテンツ全体が安定的に運用できるよう、キャンペーンの規模感を弊社でも把握できるようにするために設定項目を追加いたしました。
コンテンツ詳細内にキャンペーン規模の「開催期間」「見込み瞬間アクセス数」をそれぞれ選択してください。
概算で構いません。
"
2023.6.15 【アップデート情報】GA4対応のログ（新GA）がリリースされました,"詳細
GA4に対応した「ログ（新GA）」がリリースされました。
従来のログ解析で利用している、ログ（GA）とログ（新GA）は解析方法が異なります。

Google側の運用に伴い、ログ（GA）で利用している
ユニバーサルアナリティクスは2023年6月末にサポートが終了するため、キュリアのログもGA4に移行することになりました。
キュリアでは2023年4月20日よりログ（新GA）でGA4でのログ集計を行なっております。
**ログ（GA）とログ（新GA）の違い**

別ページでご説明しております。
こちらをご参照ください。
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/f1edf4803dac977fa82c0851ed8df6cba27b7f26/"
【推奨環境|初めての方へ】推奨環境について,"スマホ利用が前提となっており、各OSの標準ブラウザを推奨しております。

Android：Chromeアプリ 
iOS：Safariアプリ

※最新版をご利用ください。


ユーザー利用時の推奨環境
キュリアコンテンツ制作担当の推奨ブラウザ

"
【素材・資料|初めての方へ|NFC|事例】事例・素材集サイトについて,"キュリアコンテンツ用素材・活用事例集
**対象：ビジネス･ベーシック･スタンダードプラン**

素材やキュリア活用事例集などの各種資料をダウンロードいただけます。
ダウンロードした素材はキュリア編集画面で差し替えてご使用いただけます。

**営業資料、事例サイト**
https://qlear.stores.jp/

パスワードは毎月メールでお送りしておりますのでご確認ください。
ご契約者様で、パスワード案内メールの送付先追加希望の場合は
キュリアサポートまでご連絡ください。
https://qlear.cloud/contacts/new



***

NFCタッチマーク素材
※以下より画像をダウンロードいただき、加工編集しご利用いただけます。
https://qlear.cloud/s_sample/sozai
キュリア採用事例
キュリア活用事例のインタビューを掲載しております。
https://qlear.cloud/media/case

***"
【初めての方へ|サンプル】コンテンツサンプル集,"https://qlear.cloud/s_sample/sample_slide

コンテンツ種類：スマホサイト（スライド型）
テンプレート編集で追加・編集可能なブロックをすべて盛り込んだサンプルサイトです。
***
https://qlear.cloud/s_sample/sppage

コンテンツ種類：スマホサイト（標準）
テンプレート編集で追加・編集可能なブロックをすべて盛り込んだサンプルサイトです。
***

https://qlear.cloud/s_sample/recruit

コンテンツ種類：スマホサイト（標準）＋フォームを紐付け
動画や地図なども埋め込んだ採用LPが簡単に作成可能です。
***
https://qlear.cloud/s_sample/answer1


コンテンツ種類：フォーム+クーポンコンテンツを紐付け
***
https://qlear.cloud/s_sample/lose2

コンテンツ種類：ガチャ+はずれ設定画面でフォームコンテンツを紐付け
***
【スマホサイト（スライド型）サンプルサイト】
【スマホサイト（標準）　サンプルサイト】
【採用サイト＋フォーム　サンプルサイト】
【アンケート回答特典でクーポン　サンプルサイト】
【ハズレてもアンケートに回答でクーポンGET　サンプルサイト】
【クーポン＋抽選　サンプルサイト】
https://qlear.cloud/s_sample/1Challenge

コンテンツ種類：スマホサイトに別途作成したキュリアのフォームと、ガチャを紐付け
***
【注意事項+抽選リンク　サンプルサイト】
https://qlear.cloud/s_sample/caution1

コンテンツ種類：スマホサイトにガチャを紐付け。
スマホサイトにガチャに関する注意事項を記載し、読んだ頂いた後ガチャに進んで頂く仕組み。
***
【フォトフレーム　サンプルサイト】
https://qlear.cloud/s_sample/photoframe

コンテンツ種類：フォトフレーム"
【初めての方へ||サンプル】キュリア・一覧,"キュリアで作成できるコンテンツ一覧
**?スマホサイト**
標準型：https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/514276fb2381fb2a4d82a175f926eaed441210f8/

スライド型：https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/09458796bf2a151e29608bbf8d2d63a0ad1bcc13/

**?キャンペーン（クーポン、ガチャ、くじ、スクラッチ、福引、ルーレット、スロット）**
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/edd094ecd484515c8ca8857aaa2845f0a28d22ae/

**?外部リンク**
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/59a977df6484a1310794d8bfad73d411d967980c/

**?フォーム**
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/b973c0aee89c286126d033cc0442f28785f4de1b/

**?スタンプラリー**
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/585fbd91b7293aeb0442cead29b890307b3405e4/

**?スタンプカード**
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/f9f939b55e487f929cb6783b06079f097cb6311b/

**?ギフト（ガチャ）**
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/188950705c64b99bdf3ca24ded487436ea94dc0b/

**?整理券**
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/494ed8478e0293b5381a29257f050600828c6065/

**?フォトフレーム**
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/category/69f99a76802fabc9f12faa1e529a9742a9344399/

***"
【初めての方へ|商標】商標・登録商標について,"当ウェブサイト上に掲載されている株式会社ミリアド
ならびに第三者の商品またはサービスの名称等は、
各社の商標または登録商標です。

※QRコードは株式会社デンソーウェーブの登録商標です。
※LINEは、LINE株式会社の商標または登録商標です。
※iOS商標は、米国Ciscoのライセンスに基づき使用されています。
※「Google Chrome」、「Android」、「Chrome」、「YouTube」、
　「YouTubeロゴ」、「Google Analytics」は、
　Google LLCの商標または登録商標です。
※Appleは、米国および他の国々で登録されたApple Inc.の商標です。"
【初めての方へ|個人情報】プライバシーポリシーについて,"プライバシーポリシーの詳細は以下をご確認ください。

**株式会社ミリアド　個人情報保護方針**
https://qlear.cloud/privacy_policy"
【初めての方へ|約款】利用規約について,"利用規約の詳細は以下をご確認ください。

**ソフトウェア共通約款**
https://qlear.cloud/rules"
【初めての方へ|重要|推奨環境】キュリア知識集,"キュリアコンテンツの制作・運用にご活用いただけるよう
キュリアに関する情報をピックアップしました。
※クッキーが利用できる環境前提です。
【QRコードの読み込み方法について】
■iPhone
標準アプリの「カメラ」を起動し、QRコードをスキャンください。
※コントロールセンターの「QR読み取り機能」は使用しないでください。
（クッキーでの制御ができないため）



■Android
iPhoneと違いメーカーが複数あるため、端末により読込み方法が異なります。
カメラアプリでスキャンまたはQR読込みアプリにてQRコードをスキャンください。
***

【NFCの読込み方法について】
細かい仕様は端末によって違いますが代表的な方法を紹介します。

■iPhone
iPhone XS以上：スマートフォンのNFC読込み箇所をNFCシールに近づけてください。
iPhone7以上：コントロールセンターのNFC読込みを起動し、NFCシールに近づけてください。

■Android
NFC対応端末：スマートフォンのNFC読込み箇所をNFCシールに近づけてください。

※NFC機能をOFFにしている場合はONへ
※NFC非対応端末には対応していません。

【QRコード作成について】
2種類ございます。

**■キュリアサービス内でデザインQRを作成する方法**
背景画像をアップし、簡易的に作成可能です。
最大アップロードサイズ：20MB

**■デザインソフト等であとから背景画像を合成加工する方法**
デザインソフトで背景設定可能なQRコードが作成できます。
PNG形式・SVG形式にて出力可能です。

※QRコードが読み込みにくい背景もございますので必ず動作テストをお願い致します。

【コンテンツの制御について】
【コンテンツ制作/編集設定について】
【パスコードコンテンツについて】
【アラートについて】
【ログについて】
【キュリアコンテンツ利用想定・キャンペーン規模について】
【システムセキュリティについて】
【オプション費用（税抜）について】
【システムメンテナンスについて】

制御方法は4種類ございます。

**■クッキーで制御**
WEBブラウザアプリ内の保存領域であるクッキーを利用し、
抽選可否や抽選結果を保存します。

保存日数（1日＝抽選実行から24時間後）をコンテンツ制作時に指定できます。
※ユーザーがクッキー保存できない環境での閲覧や
　クッキーを削除する行為が発生した場合、正常に情報が保存読込みできず、
　未抽選者扱いとなります。

クッキーが利用できない主なケースについて
・コントロールセンターのQR機能を利用しQRコードを読み込む（iOS）
・ユーザー側でシークレットモードまたはプライベートブラウズを利用
　（iOS/Android）
・QRコード読込みアプリのアプリ内ブラウザでURLを表示している
　（iOS/Android）


**■ログインIDで制御**
Apple ID、Google ID、LINE IDの3種類でのログイン機能を付与できます。

ログインIDを利用し、抽選可否や抽選結果を保存します。
コンテンツ利用の前にログインしていただく必要があります。

対象コンテンツ：ギフト、スタンプラリー、スタンプカード


**■パスコードで制御**
パスコード機能を付与できます。
パスコードを利用し、抽選可否や抽選結果を保存します。
事前に配布された個々のパスコードを入力していただく必要があります。

対象コンテンツ：キャンペーン、フォーム


**■バリアブルQRで制御**
個々にQRコード（URL）を作成できます。
QRコード（URL）ごとに、抽選可否や抽選結果を保存します。

対象コンテンツ：ギフト

***
■クッキー日数設定（制御）0日について
この設定は、お客様へのサンプル提供や社内検証用を想定した設定値です。
結果がクッキーへ保存されないため、
何度もコンテンツへアクセス・実行が可能です。

■公開中のコンテンツのあたり設定変更について（枚数リセット機能について）
公開（運用）中のコンテンツはあたり設定を基本的には変更できません。

変更する場合は、あたり設定画面にあるリセット機能を利用し、
あたり設定をリセットください。
リセットを行うと取得済みクーポンやログに関してもリセット（剥奪）
されるため特に注意をお願い致します。

**枚数リセットの詳細はこちら**
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/6681edb350791811a1ee7e2eb99681b4719bf441/

***
■パスコードが機能する範囲について
パスコード直下のコンテンツに限り影響します。

パスコード機能→フォームコンテンツ→抽選コンテンツと連携した場合、
パスコードを入力しないと閲覧できないコンテンツは、
フォームコンテンツのみです。
（機能するのはパスコード直下にあるコンテンツです。）

※パスコード設定可能数：コンテンツ全体で5万件まで（オプションで追加可能）

***
■推奨ブラウザ以外を利用時のアラート
推奨ブラウザではないとシステムが判断できる場合、
非推奨ブラウザである旨のアラートを表示します。
（アラートが出るブラウザではコンテンツ利用はできません。）

推奨ブラウザ：Safari（iOS）、Chrome（Android）

■iOS利用のアラート
コントロールセンターのQR機能を利用しQRコードを読み込む（iOS）場合、
キュリアコンテンツ制御の１つであるクッキーを保存させない仕様が
iOS側であります。

コンテンツが制御できなく何度も抽選されてしまうトラブルを少なくするため、
Safariブラウザでコンテンツを展開してほしい旨のアラートを表示します。
またコントロールセンターのQR機能を利用したアクセスかどうかを
判別することができないため、iOSでの利用に関して
全てアラートを表示しています。

※iOSバージョンにより表示可否が発生しており現在最新OS等で調査中でございます。

***
キュリアで確認いただけるログは2種類ございます。

■キュリア独自に取得しているログ
フォーム回答内容や、キャンペーン類の結果ログ等が対象です。
実数値を表示しております。
※アクセス後、即時反映されます。

■グーグルアナリティクスにて取得しているログ
PVやUUなどサイトアクセス情報などが対象です。
Google社独自の指標により精査されたログとなりますため
参考ログとしてご活用ください。

※グーグル社の判断により取得されにくいログ項目もございます。
※アクセスから約48時間後に反映されます。

**ログの詳細はこちら**
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/category/02c45b900243a7da75048b0173ed3e8ad410c84a/

***
キュリアは大規模企画の実績もございますが、
小規模から中規模のキャンペーンを想定しシステムを組んでおります。

月間PV数の制限等もございますので、
キャンペーン参加数が多く見込まれる企画、
大量アクセスや集中アクセスが予想される企画等を検討される際は、 
事前に弊社までご相談をお願いいたします。

**キュリアコンテンツ利用想定一覧の詳細はこちら**
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/0522685bc7536d572cf30796a4427cf1bb248cb6/
弊社にて取りまとめたセキュリティシートのデータを
ご希望のご契約者様へお渡ししております。

シートが必要なお客様へお渡ししていただき、
ご確認いただきますようお願い致します。
**※セキュリティに関するシートとなりますため
他WEBサイト等への掲載はお控えお願い致します。**

***
NFC追加、パスコード追加、月間PV数増設、月間PV数増設など、
詳細はサポートへご連絡ください。
https://qlear.cloud/contacts/new
キュリア管理画面、ユーザー画面（運用中コンテンツ）を停止し、
メンテナンスをさせていただくことがございます。
管理画面、ユーザー画面ともにメンテンナス中である旨の
アラートページを表示し実施致します。

サーバーメンテナンスの際は、基本的な時間は深夜帯を予定ししており
10日前までにメールにてご連絡いたします。
※緊急メンテナンス時は状況に応じて対応

***
【キュリアコンテンツ表示方法の確認（PDF）】
↓ダウンロードしてご利用いただけます。
***
***
***"
【初めての方へ】キュリアコンテンツ利用想定一覧,"キュリアで製作可能な各コンテンツの、利用イメージについてまとめました。

いずれのコンテンツも、大規模利用が予想される場合は
事前に以下情報を添えてキュリアサポートまでご相談をお願いいたします。
https://qlear.cloud/contacts/new


1. 利用予定のコンテンツ種類（例：ガチャ、ギフト、スタンプラリーなど）
2. イベント実施日時、期間
3. 予定参加者数
4. 下記項目の該当項目


PDFファイルは以下よりダウンロードください。
【コンテンツ利用想定表（PDF）】
　A.同時刻に一斉に同じQRコード（コンテンツURL）にアクセスする可能性がある
　B.複数箇所に同じQRコードを多数配置し、アクセスが集中する可能性がある
　C.メールなどでコンテンツURLを一斉配布しアクセスが集中する可能性がある

***"
